name,address,details,about,city,micromarket,img1,img2,price
CoWorkkeys Magnum Tower 2,"Sector 58, Gurgaon","Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹8,000
/Seat
Enquire","COWORKKEYS is a vibrant coworking fully furnished office space on rent situated in Sector 58, Golf Course Extension Road, Gurgaon also offering dedicated desks, private cabins, conference rooms, collaborative zones, high-speed Wi-Fi, ergonomic furniture, and more. Locationed in Magnum Tower 2, Gurgaon, Haryana it is Just 10 minutes from Sec 55-56 Metro Station on Golf Course Road. Complimentary Tea and coffee - Office boy service for guests - Electricity - AC - Maintenanc...",Gurgaon,Sector 58,https://img.cofynd.com/images/latest_images_2024/1f303d275cf2cf339ce2447831bab99aab55e232.webp,https://img.cofynd.com/images/latest_images_2024/72aab7ac72eddd6c8a84262fc9225255c7214398.webp,7000.0
VentureX Sec 29,"Sector 29, Gurugram","Dedicated Desk - starting from
₹15,000
/Seat
Enquire | Private Cabin - starting from
₹17,000
/Seat
Enquire","VentureX in Sec 29 Gurgaon, near IFFCO Chowk, provides a dynamic coworking hub for professionals and startups. Private Cabin for 4 seats, 6 seats and 8 seats are available. Also customised space is available as per your specific needs. Located next to Iffco Chowk metro station it is just a minute walk from the metro.",Gurgaon,Sector 29,https://img.cofynd.com/images/latest_images_2024/4a3b4f5df0b1669b84aa03fb22b52e20f9539856.webp,https://img.cofynd.com/images/latest_images_2024/2d120dbb60e13ac13b62bbb08d219de1dc18ca99.webp,15000.0
Plus Offices,"Golf Course Extension Road, Gurugram","Hot Desk - starting from
₹6,500
/Seat
Enquire | Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹7,500
/Seat
Enquire","Located in Sector 67 of Gurugram, Plus Offices Coworking Space provides you with every facility available at a stone throw distance. It is situated over 1,00,000 sq. ft. with top-class infrastructure. Book a tour today if you’re looking for customized workplace solutions.",Gurgaon,Golf Course Road,https://img.cofynd.com/images/original/346caa67f2cfc71b4946eba543b6e220c0a30ec2.jpg,https://img.cofynd.com/images/original/6c44a74a173e7796c7e1c93533413b6d4973423c.jpg,7000.0
Innov8 Golf Course Road,"Orchid Centre, Gurugram","Dedicated Desk - starting from
₹11,000
/Seat
Enquire | Private Cabin - starting from
₹12,000
/Seat
Enquire","Innov8 Golf Course Road is a Flagship Coworking Space Center in Gurgaon. It is a well-designed Shared Office with an Industrial Design Language and has the seating capacity of 900 seats. From their Flexible Workspaces, Meeting Rooms, Conference Rooms to the Green Integrated spaces on the Terrace, this centre enhances the overall experience of the clients. It offers close vicinity to the Centrum Plaza, Audi Showroom, 5 Star Hotels and Sector-54 Rapid Metro Station.",Gurgaon,Orchid Centre,https://img.cofynd.com/images/original/9931e015ece7450bd0bef15a62f35fb579176658.jpg,https://img.cofynd.com/images/original/b8d037ddde73ac77a92891dff2952301003532ca.jpg,11000.0
VentureX Silverton Tower,"Golf Course Extension Road, Gurgaon","Dedicated Desk - starting from
₹10,000
/Seat
Enquire | Private Cabin - starting from
₹11,000
/Seat
Enquire","Venture X Silver Tower thoughtfully designed workspaces, a strategic location, modern amenities, and a vibrant atmosphere, we empower entrepreneurs, startups, and professionals to thrive. Silverton Tower is nestled in a prime location providing various services. Join us and unlock a world of possibilities, networking, and productivity as your next venture begins here.",Gurgaon,Golf Course Road,https://img.cofynd.com/images/latest_images_2024/ac13ca1d0456e7481ed244c1d68a5950689fd0c0.webp,https://img.cofynd.com/images/latest_images_2024/f5ce787b6cfe0de8a31cb71a7cf6be0fe98aa09b.webp,10000.0
Awfis Ambience Mall,"DLF Cyber City, Gurugram","Dedicated Desk - starting from
₹10,500
/Seat
Enquire | Private Cabin - starting from
₹12,000
/Seat
Enquire","This Awfis coworking space is located in Ambience Mall which is one of the largest malls in India. It gives you options to work for a day, month or longer periods also. The seating plan comprises Dedicated Desks, Private Cabins packed with splendid amenities - High-Speed Wifi, Printers, Scanners, Tea/Coffee, Cafes, Collaborative Staff, NFC-based access cards, Ample Parking Space, and the count goes on. Every member of the Awfis coworking Ambience Mall also gets access to the Awfis Rewards pro...",Gurgaon,Dlf Cyber City,https://img.cofynd.com/images/latest_images_2024/ca33925bfadb653441c1c98512db11e8496913ff.webp,https://img.cofynd.com/images/original/b005364317931dd14943bd9ff93db82d5ee0bb77.jpg,10500.0
AltF Orchid Business Park,"Sohna Road, Gurugram","Dedicated Desk - starting from
₹8,000
/Seat
Enquire","AltF Orchid Business Park is strategically located on Sohna Road, Gurugram. Whether you are a freelancer, entrepreneur, working professional, or a small/large organization this coworking space has a special space for everyone. Moreover, this workplace is just 400 meters away (5 Min Walk) From Subhash Chowk. This workspace offers a wide range of seating arrangements such as hot desks, dedicated desks, private cabins, manager cabins, conference rooms, and more.",Gurgaon,Sohna Road,https://img.cofynd.com/images/latest_images_2024/2109c0f2428e162738c10ae6cf2ded031e9c5bd6.webp,https://img.cofynd.com/images/latest_images_2024/e4ae2b6129e94acb4384b1db7917c04ad8428da6.webp,8000.0
CoWrks DLF Cyber City,"Sector-24, Gurugram","Dedicated Desk - starting from
₹25,000
/Seat
Enquire | Private Cabin - starting from
₹29,000
/Seat
Enquire","Cowrks Cyber City is one of the Largest Premium Coworking Space. This Coworking Centre keeps your Organization in the Company of Big Industry Leaders and Global Business Giants. This Centre offers the Workspace Solutions for Startups, SMEs and Big Organization. It also gives you good connectivity to the City’s Prime Neighbourhood, Business Hubs and close proximity to Phase 3 Rapid Metro Station.",Gurgaon,Sector 24,https://img.cofynd.com/images/original/4cf253ab133638715b42702160ee9c2dcc8c666b.jpg,https://img.cofynd.com/images/original/fce2ba0141bb92fae1360230ec95147249fd9a3d.jpg,25000.0
91Springboard Sector 44,"Sector 44, Gurugram","Dedicated Desk - starting from
₹9,000
/Seat
Enquire | Private Cabin - starting from
₹10,000
/Seat
Enquire","91Springboard Sector 44 Gurgaon, has a seating capacity of more than 1,250 seats and it is located right beside the Zomato Corporate Office. It offers the state of the art infrastructure with hassle-free setup, bright open spaces, Meeting and Conference Rooms to achieve the best with your work. This coworking centre has close vicinity to the HUDA City Metro Station.",Gurgaon,Sector 44,https://img.cofynd.com/images/original/8fcbc432e59636b9fc14665ecd0a0b094c0a828d.jpg,https://img.cofynd.com/images/original/ac3a7c2b952f539f496b35acf443725bbd30fb86.jpg,9000.0
Venture X Landmark Cyberpark,"Golf Course Extension Road, Gurugram","Dedicated Desk - starting from
₹8,500
/Seat
Enquire | Private Cabin - starting from
₹9,500
/Seat
Enquire","Venture X landmark cyber park is an amazing co-working space ie suitably designed for those who want more of a professional coworking experience. They believe that “Pro-working” can be beneficial for both startups and established businesses. Venture X is much more than shared office space for all the professionals out there. To all the working professionals, digital nomads, freelancers, etc out there who need flexible space. You don’t need to compromise or skimp over the qua...",Gurgaon,Golf Course Road,https://img.cofynd.com/images/original/19f64d459e901b6ae671d1f4161020b729aa2b70.jpg,https://img.cofynd.com/images/original/ecb3997ceb8238b2c5fdf21737848ca7980fe643.jpg,8500.0
Awfis Paras Trinity,"Sector 63, Gurugram","Dedicated Desk - starting from
₹9,000
/Seat
Enquire | Private Cabin - starting from
₹10,000
/Seat
Enquire","Awfis Paras Trinity is a prestigious shared office space in the most elegant region of Gurugram, Golf Course Extension Road. It is a premium co-working space in the skyscraper tower, Paras Trinity. This place occupies an area of 20,000 square feet on the 10th floor of the highly elevated building and offers working space for multiple people. Awfis Paras Trinity is dedicatedly designed for the working professionals of multinational companies, small and mid-size enterprises, local startups, ent...",Gurgaon,Sector 63,https://img.cofynd.com/images/latest_images_2024/c5f50a8afe484f9b5124d305eb08718cdcf78861.webp,https://img.cofynd.com/images/original/9df1dd26643d470c5a32b89dcf76bcf6cb4f1df1.jpg,9000.0
Kibu Coworking,"Udyog Vihar, Gurugram","Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹7,000
/Seat
Enquire","Welcome to Kibu, where productivity meets comfort in the heart of Udyog Vihar Phase 5, Gurugram. With four floors boasting a capacity of around 250 workstations, our modern and vibrant space is designed to inspire innovation and collaboration. Equipped with contemporary amenities including a conference and meeting room, a cozy cafeteria, and swift leased line internet, Kibu ensures that your work experience is seamless and enjoyable. Conveniently located with stilt parking facilities, Kibu of...",Gurgaon,Udyog Vihar,https://img.cofynd.com/images/latest_images_2024/f14c06d241c30625cee153d53187a4d71361dcc8.webp,https://img.cofynd.com/images/latest_images_2024/e6fbd406a7d653bd12ceb059c8aa45809fa96d43.webp,7000.0
Awfis Augusta Point,"Golf Course Road, Gurgaon","Dedicated Desk - starting from
₹15,000
/Seat
Enquire | Private Cabin - starting from
₹17,000
/Seat
Enquire","Awfis, Augusta Point is located in one of the prime locations of Golf Course Road, Gurgaon. It offers Day Passes, Dedicated Desks and Private Cabins equipped with the best in class amenities - High-Speed Wifi, Tea/Coffee, Printer, Scanner, Meeting Rooms, Lounges, Rock pods and Parking Space. This Space has easy access to Sector 53-54 Rapid Metro Station and both public and private transportation. Book your space at Awfis centre in Golf Course Road and put your business into action.",Gurgaon,Golf Course Road,https://img.cofynd.com/images/original/c8417c3e6228a073f5af9977f3bfb058535b430d.jpg,https://img.cofynd.com/images/original/29f7c32fae7798c9733f5b891af3e0ded7031a85.jpg,15000.0
The Circle Work,"Sector 54, Gurugram","Hot Desk - starting from
₹12,000
/Seat
Enquire | Dedicated Desk - starting from
₹20,000
/Seat
Enquire | Private Cabin - starting from
₹25,000
/Seat
Enquire","The Circle Work @ Golf Course Road is a well-designed coworking space located on Golf Course Road, DLF City, DLF Phase 5, Sector 54 Gurugram. This place is a one-stop destination for all freelancers, working professionals, startups, enterprises, and more who want to work and engage with new people from all walks of life under one roof. They are offering various seating accommodations such as hot desks, dedicated desks, private cabins, manager cabins, and meeting rooms at cost-effective prices...",Gurgaon,Sector 54,https://img.cofynd.com/images/original/02748eb77d32abe6f9b401f3b326d1c79c6f01a9.jpg,https://img.cofynd.com/images/original/1838de9ab49a58410388b0c12791e0a8c2b7e6ce.jpg,20000.0
CoWrks Golf Course Road,"Sector 54, Gurugram","Dedicated Desk - starting from
₹21,000
/Seat
Enquire | Private Cabin - starting from
₹25,000
/Seat
Enquire","Cowrks Golf Course Road is a mixture of Coworking and Private Office Solutions in Paras Twin Towers. Amongst its Hustle and Bustle on Golf Course Road, this space surrounds yourself with the big companies like Carlsberg, CISCO, Religare and lot more. It offers four types of Membership- Lounge Membership (10 Team members), Private Studio (50 Team members), Private Suite (200 Team members), Coworks Enterprise (1000 Team Members). It also has good connectivity with the proposed Metro Station and pr...",Gurgaon,Sector 54,https://img.cofynd.com/images/original/8979328470f18fc10c38a28ec7abc4f4b9b502d6.jpg,https://img.cofynd.com/images/original/b0c9bfe110623b34e0defbd00b9bd5e4b2d3d706.jpg,21000.0
MiQB Udyog Vihar,"Sector 18, Gurugram","Hot Desk - starting from
₹6,000
/Seat
Enquire | Dedicated Desk - starting from
₹6,500
/Seat
Enquire | Private Cabin - starting from
₹7,000
/Seat
Enquire","MiQB Udyog Vihar is a highly-professional and elegant workspace which can accommodate 600 coworkers easily. It comes along with premium amenities, unlimited benefits, seamless connectivity and invaluable networking opportunities, sound cool? You can book open desks, private cabins, MiQB suites, hot desks, dedicated desks and premium cabins for you and your team. It offers state of the art amenities such as high-speed internet, free beverages, conference rooms, breakout areas, power back...",Gurgaon,Sector 18,https://img.cofynd.com/images/original/c7cf0c7429b78f51eaad846f794ba21724cf3d52.jpg,https://img.cofynd.com/images/original/4129cb5012772dece9a85cb8d429599916c807f2.jpg,6500.0
